DatefirstseenSrcIPAddrDstIPAddrInByteOutByte
2020-02-2511:21:06.190,192.168.250.3,23.226.231.226,572,0
2020-02-2511:28:30.860,192.168.250.50,40.114.211.99,2241,0
2020-02-2511:29:30.210,192.168.250.3,23.226.231.226,308,0
2020-02-2511:30:01.860,192.168.250.62,192.168.250.1,152,0
2020-02-2511:30:01.860,192.168.250.1,192.168.250.62,152,0
2020-02-2511:30:02.530,192.168.250.50,192.168.250.1,132,0
2020-02-2511:30:02.540,192.168.250.1,192.168.250.50,450,0
2020-02-2511:30:02.540,192.168.250.50,173.194.73.95,5023,0
2020-02-2511:30:02.550,173.194.73.95,217.15.20.194,6248,0
2020-02-2511:30:02.700,192.168.250.50,192.168.250.1,126,0
2020-02-2511:30:02.700,192.168.250.50,192.168.250.1,112,0
2020-02-2511:30:02.700,192.168.250.1,192.168.250.50,616,0
2020-02-2511:30:02.700,192.168.250.1,192.168.250.50,502,0
2020-02-2511:30:02.710,192.168.250.50,108.177.14.94,4313,0
2020-02-2511:30:02.730,108.177.14.94,217.15.20.194,4185,0
2020-02-2511:30:03.680,192.168.250.27,192.168.250.1,156,0
2020-02-2511:30:03.680,192.168.250.27,192.168.250.1,156,0
2020-02-2511:30:03.680,192.168.250.1,192.168.250.27,508,0
2020-02-2511:30:03.680,192.168.250.27,192.168.250.1,158,0
2020-02-2511:30:03.680,192.168.250.27,192.168.250.1,158,0
2020-02-2511:30:03.680,192.168.250.1,192.168.250.27,700,0
2020-02-2511:30:03.690,192.168.250.27,192.168.250.1,156,0
2020-02-2511:30:03.690,192.168.250.27,192.168.250.1,156,0
2020-02-2511:30:03.690,192.168.250.1,192.168.250.27,768,0
2020-02-2511:30:03.690,192.168.250.27,192.168.250.1,176,0
2020-02-2511:30:03.690,192.168.250.27,192.168.250.1,176,0
2020-02-2511:30:03.690,192.168.250.1,192.168.250.27,768,0
2020-02-2511:30:03.690,192.168.250.27,192.168.250.1,154,0
2020-02-2511:30:03.690,192.168.250.27,192.168.250.1,154,0
2020-02-2511:30:03.700,192.168.250.1,192.168.250.27,764,0
2020-02-2511:30:03.700,192.168.250.27,192.168.250.1,154,0
2020-02-2511:30:03.700,192.168.250.27,192.168.250.1,154,0
2020-02-2511:30:03.700,192.168.250.1,192.168.250.27,764,0
2020-02-2511:30:03.700,192.168.250.1,192.168.250.27,676,0
2020-02-2511:30:03.700,192.168.250.27,192.168.250.1,152,0
2020-02-2511:30:03.700,192.168.250.27,192.168.250.1,152,0
2020-02-2511:30:03.700,192.168.250.1,192.168.250.27,676,0
2020-02-2511:30:03.710,192.168.250.1,192.168.250.27,888,0
2020-02-2511:30:03.710,192.168.250.27,192.168.250.1,156,0
2020-02-2511:30:03.710,192.168.250.27,192.168.250.1,156,0
2020-02-2511:30:03.710,192.168.250.1,192.168.250.27,888,0
2020-02-2511:30:03.710,192.168.250.1,192.168.250.27,760,0
2020-02-2511:30:03.720,192.168.250.27,192.168.250.1,152,0
2020-02-2511:30:03.720,192.168.250.27,192.168.250.1,152,0
2020-02-2511:30:03.720,192.168.250.1,192.168.250.27,760,0
2020-02-2511:30:03.720,192.168.250.1,192.168.250.27,596,0
2020-02-2511:30:03.720,192.168.250.27,192.168.250.1,160,0
2020-02-2511:30:03.720,192.168.250.27,192.168.250.1,160,0
2020-02-2511:30:03.720,192.168.250.1,192.168.250.27,596,0
2020-02-2511:30:03.730,192.168.250.1,192.168.250.27,700,0
2020-02-2511:30:03.730,192.168.250.1,192.168.250.27,700,0
2020-02-2511:30:03.730,192.168.250.1,192.168.250.27,884,0
2020-02-2511:30:03.730,192.168.250.1,192.168.250.27,884,0
2020-02-2511:30:03.740,192.168.250.1,192.168.250.27,772,0
2020-02-2511:30:03.740,192.168.250.1,192.168.250.27,772,0
2020-02-2511:30:03.760,192.168.250.27,81.19.104.45,224,0
2020-02-2511:30:03.800,81.19.104.45,217.15.20.194,136,0
2020-02-2511:30:07.280,192.168.250.3,192.168.250.1,142,0
2020-02-2511:30:07.280,192.168.250.1,192.168.250.3,322,0
2020-02-2511:30:07.280,192.168.250.3,192.168.250.1,124,0
2020-02-2511:30:07.280,192.168.250.1,192.168.250.3,124,0
2020-02-2511:30:07.280,192.168.250.3,192.168.250.1,140,0
2020-02-2511:30:07.280,192.168.250.1,192.168.250.3,140,0
2020-02-2511:30:08.880,23.226.231.226,217.15.20.194,80,0
2020-02-2511:28:03.610,13.94.251.244,217.15.20.194,7397,0
2020-02-2511:21:32.040,23.226.231.226,217.15.20.194,120,0
2020-02-2511:30:11.310,192.168.250.27,192.168.250.1,120,0
2020-02-2511:30:11.320,192.168.250.27,192.168.250.1,140,0
2020-02-2511:30:11.340,192.168.250.1,192.168.250.27,458,0
2020-02-2511:30:11.340,192.168.250.1,192.168.250.27,540,0
2020-02-2511:30:13.990,192.168.250.27,192.168.250.1,154,0
2020-02-2511:30:13.990,192.168.250.1,192.168.250.27,740,0
2020-02-2511:29:43.130,192.168.250.3,23.226.231.226,308,0
2020-02-2511:27:17.500,68.232.34.200,217.15.20.194,11442,0
2020-02-2511:27:17.460,192.168.250.27,68.232.34.200,2713,0
2020-02-2511:30:07.210,92.118.38.58,217.15.20.194,1027,0
2020-02-2511:30:07.210,192.168.250.3,92.118.38.58,972,0
2020-02-2511:21:19.100,192.168.250.3,23.226.231.226,572,0
2020-02-2511:30:21.120,192.168.250.27,192.168.250.1,150,0
2020-02-2511:30:21.120,192.168.250.1,192.168.250.27,468,0
2020-02-2511:30:21.740,23.226.231.226,217.15.20.194,80,0
2020-02-2511:30:23.430,192.168.250.50,192.168.250.1,146,0
2020-02-2511:30:23.430,192.168.250.1,192.168.250.50,464,0
2020-02-2511:30:23.440,192.168.250.50,173.194.222.95,4328,0
2020-02-2511:30:23.440,173.194.222.95,217.15.20.194,27012,0
2020-02-2511:27:59.810,192.168.250.50,77.111.247.41,2739,0
2020-02-2511:28:08.860,77.111.247.41,217.15.20.194,1948,0
2020-02-2511:30:24.770,172.253.5.2,217.15.20.194,162,0
2020-02-2511:30:24.780,192.168.250.247,172.253.5.2,344,0
2020-02-2511:30:24.780,74.125.41.3,217.15.20.194,162,0
2020-02-2511:30:24.780,192.168.250.247,74.125.41.3,344,0
2020-02-2511:29:56.010,192.168.250.3,23.226.231.226,308,0
2020-02-2511:29:43.610,77.111.247.41,217.15.20.194,9286,0
2020-02-2511:29:43.580,192.168.250.50,77.111.247.41,2824,0
2020-02-2511:27:33.290,68.232.34.200,217.15.20.194,11356,0
2020-02-2511:27:33.250,192.168.250.57,68.232.34.200,2754,0
2020-02-2511:21:44.960,23.226.231.226,217.15.20.194,120,0
2020-02-2511:30:11.810,13.232.66.4,217.15.20.194,4216,0
2020-02-2511:28:30.890,40.114.211.99,217.15.20.194,7609,0
2020-02-2511:30:11.560,192.168.250.27,77.74.181.18,1334,0
2020-02-2511:30:11.590,77.74.181.18,217.15.20.194,709,0
2020-02-2511:30:34.110,192.168.250.62,192.168.250.1,152,0
2020-02-2511:30:34.110,192.168.250.1,192.168.250.62,152,0
2020-02-2511:30:34.610,23.226.231.226,217.15.20.194,80,0
2020-02-2511:30:37.260,192.168.250.3,192.168.250.1,186,0
2020-02-2511:30:37.260,192.168.250.1,192.168.250.3,218,0
2020-02-2511:30:37.270,192.168.250.3,93.92.192.5,2865,0
2020-02-2511:30:37.270,93.92.192.5,217.15.20.194,2528,0
2020-02-2511:30:28.800,192.168.250.50,77.111.247.41,204,0
2020-02-2511:30:38.420,192.168.250.3,192.168.250.1,142,0
2020-02-2511:30:38.430,192.168.250.1,192.168.250.3,322,0
2020-02-2511:30:38.430,192.168.250.3,192.168.250.1,124,0
2020-02-2511:30:38.430,192.168.250.1,192.168.250.3,124,0
2020-02-2511:30:38.430,192.168.250.3,192.168.250.1,140,0
2020-02-2511:30:38.430,192.168.250.1,192.168.250.3,140,0
2020-02-2511:30:08.880,192.168.250.3,23.226.231.226,308,0
2020-02-2511:30:11.980,192.168.250.27,77.74.181.18,980,0
2020-02-2511:30:12.000,77.74.181.18,217.15.20.194,534,0
2020-02-2511:21:32.040,192.168.250.3,23.226.231.226,572,0
2020-02-2511:30:46.780,192.168.250.35,192.168.250.1,128,0
2020-02-2511:30:46.780,192.168.250.35,192.168.250.1,146,0
2020-02-2511:30:46.780,192.168.250.1,192.168.250.35,464,0
2020-02-2511:30:46.790,192.168.250.1,192.168.250.35,1058,0
2020-02-2511:30:46.790,192.168.250.35,192.168.250.1,168,0
2020-02-2511:30:46.790,192.168.250.1,192.168.250.35,120,0
2020-02-2511:30:46.800,192.168.250.35,17.253.38.125,152,0
2020-02-2511:30:46.810,192.168.250.35,17.253.54.253,152,0
2020-02-2511:30:46.850,17.253.54.253,217.15.20.194,152,0
2020-02-2511:30:46.960,192.168.250.35,17.253.38.253,152,0
2020-02-2511:30:47.460,23.226.231.226,217.15.20.194,80,0
2020-02-2511:30:38.350,92.118.38.58,217.15.20.194,1031,0
2020-02-2511:30:38.350,192.168.250.3,92.118.38.58,972,0
2020-02-2511:30:49.700,192.168.250.50,192.168.250.1,300,0
2020-02-2511:30:49.760,192.168.250.1,192.168.250.50,1072,0
2020-02-2511:30:49.770,192.168.250.50,192.168.250.1,338,0
2020-02-2511:30:49.770,192.168.250.1,192.168.250.50,782,0
2020-02-2511:30:50.340,192.168.250.50,192.168.250.1,192,0
2020-02-2511:30:50.440,192.168.250.1,192.168.250.50,1042,0
2020-02-2511:30:50.560,192.168.250.50,192.168.250.1,126,0
2020-02-2511:30:50.570,192.168.250.1,192.168.250.50,1054,0
2020-02-2511:30:50.970,192.168.250.50,192.168.250.1,148,0
2020-02-2511:30:50.980,192.168.250.1,192.168.250.50,936,0
2020-02-2511:28:49.610,192.168.250.50,52.114.75.78,4891,0
2020-02-2511:21:57.850,23.226.231.226,217.15.20.194,120,0
2020-02-2511:30:21.740,192.168.250.3,23.226.231.226,308,0
2020-02-2511:30:55.310,35.239.58.193,217.15.20.194,122,0
2020-02-2511:30:55.310,192.168.250.247,35.239.58.193,290,0
2020-02-2511:30:56.390,192.168.250.57,192.168.250.1,128,0
2020-02-2511:30:56.390,192.168.250.1,192.168.250.57,128,0
2020-02-2511:31:00.270,23.226.231.226,217.15.20.194,80,0
2020-02-2511:21:44.960,192.168.250.3,23.226.231.226,572,0
2020-02-2511:28:03.740,68.232.34.200,217.15.20.194,11402,0
2020-02-2511:28:03.700,192.168.250.50,68.232.34.200,2633,0
2020-02-2511:31:03.830,192.168.250.27,192.168.250.1,156,0
2020-02-2511:31:03.830,192.168.250.27,192.168.250.1,158,0
2020-02-2511:31:03.830,192.168.250.27,192.168.250.1,158,0
2020-02-2511:31:03.830,192.168.250.1,192.168.250.27,700,0
2020-02-2511:31:03.840,192.168.250.27,192.168.250.1,156,0
2020-02-2511:31:03.840,192.168.250.27,192.168.250.1,156,0
2020-02-2511:31:03.840,192.168.250.1,192.168.250.27,768,0
2020-02-2511:31:03.840,192.168.250.27,192.168.250.1,176,0
2020-02-2511:31:03.840,192.168.250.27,192.168.250.1,176,0
2020-02-2511:31:03.840,192.168.250.1,192.168.250.27,768,0
